Program Name,Program Phone,Program Email,Program Address 1,Program Address 2,Town,Program Zip,EEC Regional Office Address:,Program Contact Name,License First Issue Date,Most Recently Renewed,License Number,Capacity,CCRR Name,CCRR Phone,Program Type
A Happy Healthy Start Daycare  Preschool,(978) 758-8180,ahappyhealthystart@icloud.com,428 Walnut Plain Road,,Rochester,2770,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kristina Mullin,1/29/17,9/4/23,9125889,22,Child Care Works,(508) 999-9930,Large Group
"Adamides, Maria",(774) 365-2673,mariagalvan26@icloud.com,356 Frieda St,,New Bedford,2744,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/6/24,8/6/24,9149097,6,Child Care Works,(508) 999-9930,Family Child Care
After School at Little People's College - Fairhaven,(508) 990-2244,rdelarosa@littlepeoplescollege.com,128 Sconticut Neck Road,,Fairhaven,02719-1723,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Rosa Delarosa,2/27/96,12/5/24,9160080,56,Child Care Works,(508) 999-9930,Large Group
After The Bell @ Gleason YMCA,(508) 295-9622,jcubr@ymcasc.org,33 Charge Pond Road,,Wareham,2571,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Lizzie Oliver,8/29/13,9/30/24,9156986,52,Child Care Network,(508) 778-9470,Large Group
After The Bell At Carney School,(508) 997-0734,kjackson@ymcasouthcoast.org,247 Elm Street,,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kristin Jackson-Lee,8/27/15,2/22/24,9141159,39,Child Care Works,(508) 999-9930,Large Group
"Aguiar, Marli",(508) 510-1397,marlideaguiar23@gmail.com,25 Cedar Street Apt 7,,Hyannis,02601-3047,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,1/30/11,1/30/23,9113081,8,Child Care Network,(508) 778-9470,Family Child Care
"Aiello-Gonzalez, Katelin",(508) 965-2124,ittakesavillagecc@hotmail.com,472 Main Street,,Fairhaven,2719,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/9/17,10/9/23,9126567,10,Child Care Works,(508) 999-9930,Family Child Care
"Almeida de Souza Silva, Luciana",(774)310-5689,lucianaman@hotmail.com,26 C English Oak Circle,,Edgartown,2539,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/9/19,6/9/22,9101271,8,Child Care Network,(508) 778-9470,Family Child Care
"Alonzo, Glenny",(646) 600-4673,glennyalonzo@yahoo.com,20 Childs Street,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/14/20,9/14/23,9125020,8,Child Care Network,(508) 778-9470,Family Child Care
AlphaBEST @ Acushnet,(508) 873-6068,acushnetelementary@alphabest.org,800 Middle Road,,Acushnet,2743,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Dannielle Rammal,9/26/24,9/26/24,9153620,26,Child Care Works,(508) 999-9930,Large Group
"Andrade, Michelle",(774) 368-2790,michelletheila.andrade@bol.com.br,102 Compass Circle,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,1/30/20,1/30/23,9109960,10,Child Care Network,(508) 778-9470,Family Child Care
Anny Nivar de Leclere,774-263-6939,annyleclere@gmail.com,35 penniman st,,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/9/23,4/9/23,9120560,6,Child Care Works,(508) 999-9930,Family Child Care
"Arantes Ambrozio, Lara",(774) 470-8138,laraaambrozio64@gmail.com,130 Captain Ellis Lane,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/11/23,4/11/23,9118243,8,Child Care Network,(508) 778-9470,Family Child Care
"Araujo, Andrezza",(508) 221-5198,andrezzausa@gmail.com,7 Erin Lane,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,12/13/16,12/13/22,9109240,10,Child Care Network,(508) 778-9470,Family Child Care
Baps/ Barnstable-West-Barn.,(508) 362-4949,lawrence_kelly@mybps.us,2463 Main Street Route 6A,,West Barnstable,2668,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/1/21,9/1/23,9130259,60,Child Care Network,(508) 778-9470,Public School
Baps/ Centerville Elem. After School,(508) 790-6460,lawrence_kelly@mybps.us,658 Bay Lane,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/1/21,9/1/23,9130790,75,Child Care Network,(508) 778-9470,Public School
Baps/ Hyannis West After School,(508) 790-6480,ciliberto_jeanne@mybps.us,549 West Main Street,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/1/21,9/1/23,9132055,70,Child Care Network,(508) 778-9470,Public School
Baps/Barnstable United Marstons Mills,(508) 420-2272,caputo_maria@mybps.us,730 Osterville West Barnstable Road,,Marstons Mills,2648,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/1/21,9/1/23,9132054,120,Child Care Network,(508) 778-9470,Public School
Baps/West Villages Elementary School,(508) 420-1100,blackwell_kathy@mybps.us,760 Osterville West Barnstable Rd,,Marstons Mills,2648,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/1/21,9/1/21,9089830,95,Child Care Network,(508) 778-9470,Public School
"Barboza, Renata",(508) 360-4744,renatamaruccilh@hotmail.com,376 Pitchers Way,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/30/18,4/30/24,9142599,10,Child Care Network,(508) 778-9470,Family Child Care
Barnstable Community Innovation School,(508) 790-6460,clegg_shamim@mybps.us,165 Bearses Way,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/1/21,9/1/23,9132051,95,Child Care Network,(508) 778-9470,Public School
"Barove, Heather",(508) 317-2379,hmillslucas@yahoo.com,16 Joe Jay Lane,,Forestdale,02644-1100,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/23/07,9/23/22,9103980,8,Child Care Network,(508) 778-9470,Family Child Care
Bayside Montessori PreSchool,(617) 888-4939,baysidemontessoripreschool@gmail.com,1498 Falmouth Road,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Mike Bokhenok,5/1/22,11/1/24,9154948,45,Child Care Network,(508) 778-9470,Large Group
"Belezi, Niceia",(508) 360-8922,nicehomedaycare@gmail.com,411 Strawberry Hill Road,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/5/13,2/5/22,9094103,8,Child Care Network,(508) 778-9470,Family Child Care
"Best Friends Learning Center, Inc.",(508) 291-0822,bfpreschool237@gmail.com,237 Sandwich Road,,Wareham,2571,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kelly Pearce,8/28/14,10/31/23,9130525,164,Child Care Network,(508) 778-9470,Large Group
Best Friends Preschool,(774) 678-4093,bfps1@yahoo.com,10 Windsor Drive,,Wareham,02571-1457,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Maria LaPorta,10/23/97,10/31/23,9127721,65,Child Care Network,(508) 778-9470,Large Group
Blessed Angels Academy,(508) 965-6343,josh102608@gmail.com,1060 Cove Road,,New Bedford,2744,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Victoria Souza,11/7/19,5/7/24,9148660,54,Child Care Works,(508) 999-9930,Large Group
"Braga Santos, Alexandra",(508) 815-6869,naturalwayoflearning@gmail.com,37 Maple Avenue,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/22/24,4/22/24,9160049,6,Child Care Network,(508) 778-9470,Family Child Care
"Brager, Delia",(508) 989-8680,djbrager@comcast.net,42 Ohio Street,,New Bedford,2745,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/4/00,6/4/24,9146092,8,Child Care Works,(508) 999-9930,Family Child Care
